ID,頭文字,品目名,小型家電回収対象,出し方,出し方のポイント
1789,た,タンブラー(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
1790,た,卓上鍋(金属製),,粗大ごみ,30㎝未満のものは小さな金属類へ。ガラス製の蓋は燃えないごみへ 
1791,た,たも網,,粗大ごみ,金属製で30㎝未満のものは小さな金属類へ。金属製以外で50㎝未満のものは燃やすごみへ。
1792,た,タッセル,,燃やすごみ,
1793,た,ダルマ画鋲,,燃やすごみ,針の部分は刺さらないように包む。
1794,た,卓上ホルダー・車載用ホルダー(携帯電話等),,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ。金属製のものは小さな金属類へ
1795,た,卓上ボール盤,,粗大ごみ,30cm未満のものは小さな金属類へ
1796,た,ターンテーブル(電子レンジの中のもの),,燃えないごみ,
1797,た,耐油紙(揚げ物が入っていた紙袋),,燃やすごみ,
1798,た,タブレット型コンピューター,◎,燃やすごみ,"充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
PCリサイクルマークのついているものはパソコンリサイクルへ。"
1799,た,脱臭器,,燃やすごみ,50cm以上のものは粗大ごみへ
1800,た,竹シーツ,,粗大ごみ,折りたたんで一番長い辺が50cm未満のものは、燃やすごみへ
1801,た,凧糸,,燃やすごみ,
1802,た,担架,,粗大ごみ,事業で排出するものは、事業系ごみ。
1803,た,タグピン,,プラスチック資源,プラスチックのみでできたものはプラスチック資源へ
1804,た,タグファスナー,,プラスチック資源,プラスチックのみでできたものはプラスチック資源へ
1805,た,タイムレコーダー,◎,燃やすごみ,"事業で排出するものは、事業系ごみ。
デジタル式は小型家電の対象。 (投入口30cm×15cmに入る長さ30センチ未満のもの)"
1806,た,タレビン(弁当等の調味料入れ),,プラスチック資源,
1807,た,タンスシート,,燃やすごみ,
1808,た,玉のれん,,燃やすごみ,
1809,た,タオル入れ(布製・プラスチック製),,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
1810,た,脱水機,,粗大ごみ,
1811,た,ターバン,,古布,
1812,た,ダイオード,,小さな金属類,
1813,た,ダウンケット,,燃やすごみ,畳んで50cm以上のものは粗大ごみへ
1814,た,卵の殻,,燃やすごみ,
1815,た,タブレット菓子のケース,,プラスチック資源,
1816,た,ダイエットベルト,,古布,ゴム製・ビニール製のものは燃やすごみへ
1817,た,卓上カレンダー,,古紙(雑誌・その他の紙）,金属部分は小さな金属類へ 
1818,た,だし(出汁)パック,,燃やすごみ,
1819,た,体重計(ガラス製),,燃えないごみ,"新聞紙等に包み、品名を表示する。
デジタル式は小型家電の対象。
(投入口30cm×15cmに入る長さ30センチ未満のもの)"
1820,た,ダクトレール,,粗大ごみ,
1821,た,タイヤチェーンのケース,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
1822,た,竹筒,,燃やすごみ,50cm以上のものは粗大ごみへ
1823,た,竹ひご,,燃やすごみ,
1824,た,タッチペン,,燃やすごみ,
1825,た,段差スロープ,,粗大ごみ,"プラスチックのみで50cm未満のものはプラスチック資源へ。金属製で30cm未満のものは小さな金属類へ。
その他は燃やすごみへ"
1826,た,段差スロープ(コンクリート製),,粗大ごみ,50cm未満のものは燃えないごみへ
1827,た,タオルホルダー,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ。金属製のものは小さな金属類へ。
1828,た,耐震マット,,燃やすごみ,
1829,た,ダクトホース,,燃やすごみ,50cm以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ
1830,た,タブレット用ケース,,燃やすごみ,
1831,た,ターボタイマー,◎,燃やすごみ,金属製のものは小さな金属類へ
1832,た,ダンベル(ボトル型:水を入れて使用するもの),,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
1833,た,ダイビングジャケット,,燃やすごみ,50㎝以上のものは粗大ごみ
1834,ち,チャイルドシート・ジュニアシート,,粗大ごみ,50cm未満のものは燃やすごみへ
1835,ち,茶の缶,,缶・びん・ペットボトル,お茶(葉)を購入した時の容器の場合
1836,ち,注射器、注射針,,医療機関・薬局または燃やすごみ,「燃やすごみ」に出す場合は中身が確認できる堅い容器に入れて蓋を閉めて出す。プラスチック資源には出さない。
1837,ち,ちり紙,,燃やすごみ,
1838,ち,ちりとり(プラスチック製),,プラスチック資源,
1839,ち,ちりとり(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
1840,ち,地球儀,,燃やすごみ,プラスチックのみで50cm未満のものはプラスチック資源へ
1841,ち,チョーク,,燃やすごみ,
1842,ち,貯金箱(陶器製),,燃えないごみ,プラスチックのみでできたものはプラスチック資源へ
1843,ち,調理用のし台(大理石製),,燃えないごみ,50cm以上のものは粗大ごみへ
1844,ち,調理用のし台(木製・プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
1845,ち,チューナー,,粗大ごみ,プラスチック製で50㎝未満のものは燃やすごみへ。金属製で30㎝未満のものは小さな金属類へ 
1846,ち,茶がら(パック入り含む),,燃やすごみ,
1847,ち,中華鍋,,小さな金属類,30cm以上(取っ手は除く)のものは粗大ごみへ
1848,ち,チェーンソー,,粗大ごみ,30cm未満のものは小さな金属類へ
1849,ち,彫像,,粗大ごみ,金属製で30㎝未満のものは小さな金属類へ 石・ガラス製で50cm未満のものは燃えないごみへ それ以外のもので50㎝未満のものは燃やすごみへ
1850,ち,彫刻刀,,燃やすごみ,個別に新聞紙等に包み、品名を表示
1851,ち,チャイルドガード(自転車用:金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
1852,ち,チャイルドガード(自転車用:プラスチック製),,プラスチック資源,50cm以上のものは粗大ごみへ
1853,ち,茶がま,,小さな金属類,30cm以上のものは粗大ごみへ
1854,ち,提灯,,燃やすごみ,
1855,ち,チェアカバー(布製),,古布,広げて50cm未満でプラスチックのみのものはプラスチック資源へ。それ以外は燃やすごみへ
1856,ち,茶筒(金属製),,小さな金属類,お茶(葉)を購入した時の缶は「缶・びん・ペットボトル」へ
1857,ち,茶筒(木製・プラスチック製),,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ。木製のものは燃やすごみへ。金属製のものは小さな金属類へ。
1858,ち,調味料入れ(ガラス・陶器製),,燃えないごみ,調味料を買った時の容器は、缶・びん・ペットボトルへ
1859,ち,調味料入れ,,プラスチック資源,木製のものは燃やすごみへ
1860,ち,調味料の入っていたプラスチックボトル,,プラスチック資源,ペットボトルマークのついているものは缶・びん・ペットボトルへ
1861,ち,茶巾,,古布,洗濯して乾かしてから
1862,ち,茶葉,,燃やすごみ,
1863,ち,チェストリグ,,燃やすごみ,
1864,ち,調乳ポット(ガラス容器),,燃えないごみ,
1865,ち,調乳ポット(機械部分),,燃やすごみ,
1866,ち,調乳ポット(金属製のボトルタイプ),,小さな金属類,
1867,ち,蓄音機,,粗大ごみ,50cm未満のものは燃やすごみへ
1868,ち,チェックライター,,燃やすごみ,
1869,ち,縮緬,,古布,細工物は燃やすごみへ
1870,ち,地図,,古紙(雑誌・その他の紙）,
1871,ち,超音波洗浄機,,燃やすごみ,外側が金属製のものは小さな金属類へ
1872,ち,蝶番,,小さな金属類,
1873,ち,地図帳,,古紙(雑誌・その他の紙）,
1874,ち,チャンバー(バイク部品),,粗大ごみ,
1875,ち,チルドカップ,,プラスチック資源,アルミのふた部分は、燃やすごみへ
1876,ち,調理台(自分で取り外したもののみ),,粗大ごみ,業者が取り外したものは業者に処分を依頼する。
1877,ち,貯金箱(金属製),,小さな金属類,
1878,ち,チェス盤,,燃やすごみ,50cm以上のものは粗大ごみへ、ガラス製のものは燃えないごみへ
1879,ち,チェーンクリーナー,,燃やすごみ,エアゾール缶のものはスプレー缶へ
1880,ち,茶巾入れ,,燃やすごみ,
1881,ち,調味料のびん,,缶・びん・ペットボトル,金属製のフタは小さな金属類へ。 プラスチックのみでできたフタはプラスチック資源へ
1882,ち,知恵の輪,,小さな金属類,プラスチックのみでできたものはプラスチック資源へ
1883,ち,チョークライン,,燃やすごみ,
1884,ち,チューブスタンド(プラスチック製),,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ。金属製のものは小さな金属類へ
1885,ち,茶托,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
1886,ち,チューニングメーター(楽器),◎,燃やすごみ,電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
1887,ち,陳列棚(木製),,粗大ごみ,50cm以下はガラスは外して燃やすごみ
1889,ち,調味料入れ(金属製),,小さな金属類,
1890,ち,茶櫃,,燃やすごみ,
1891,ち,駐車場ポール,,粗大ごみ,50㎝未満でプラスチックのみでできたものはプラスチック資源へ
1892,つ,かみそり(持ち手が金属製),,小さな金属類,新聞紙等に包み品名を表示する
1893,つ,机,,粗大ごみ,
1895,つ,土,,燃えないごみ,小さい袋に入れて。量が多い時は数回に分けて出す
1896,つ,使い捨てカメラ,,燃やすごみ,販売店(現像を行う店)へ返却も可
1897,つ,漬物石,,燃えないごみ,
1898,つ,つっぱり棒・棚,,粗大ごみ,金属製で30cm未満のものは小さな金属類へ。プラスチックのみで50cm未満のものはプラスチック資源へ
1899,つ,つまようじ,,燃やすごみ,
1900,つ,つめ切り,,小さな金属類,プラスチック製のものは燃やすごみ
1901,つ,釣り竿,,粗大ごみ,50cm未満のものは燃やすごみへ
1902,つ,包み紙,,古紙(雑誌・その他の紙）,
1903,つ,壺(陶器製・ガラス製),,燃えないごみ,50cm以上のものは粗大ごみへ。プラスチックのみで50cm未満のものはプラスチック資源へ。木製で50cm未満のものは燃やすごみへ
1904,つ,釣り針,,小さな金属類,新聞紙等に包み品名を表示
1905,つ,つるはし,,粗大ごみ,
1906,つ,衝立,,粗大ごみ,金属製で30㎝未満のものは小さな金属類へ 金属製以外のもので50㎝未満のものは燃やすごみへ
1907,つ,積み木,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
1909,つ,釣り竿ケース,,粗大ごみ,プラスチックのみで50cm未満のものはプラスチック資源へ。布製で50cm未満のものは燃やすごみへ。金属製で30cm未満のものは小さな金属類へ。
1910,つ,つけまつげ,,燃やすごみ,
1911,つ,漬物容器(陶器製),,燃えないごみ,50cm以上のものは粗大ごみへ
1912,つ,釣り糸,,燃やすごみ,
1913,つ,使いきり充電器,,電池類,"可能な限り使い切って、テープなどで絶縁をしてください。膨張・破損しているものは各区の資源循環局事務所にお持ち込みください。
"
1914,つ,爪やすり,,燃やすごみ,金属製のものは小さな金属類へ
1915,つ,つづら,,粗大ごみ,50㎝未満のものは燃やすごみへ
1916,つ,角(動物),,粗大ごみ,"50㎝未満のものは燃やすごみへ"
1917,つ,漬物樽(木製・プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ
1918,つ,爪楊枝入れ,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ。木製のものは燃やすごみへ。金属製のものは小さな金属類へ。ガラス・陶器製のものは燃えないごみへ
1919,つ,土壁,,燃えないごみ,
1920,つ,詰め替えインクのボトル,,プラスチック資源,
1921,つ,つくばい,,粗大ごみ,50㎝未満のものは燃えないごみ
1922,つ,釣竿立て(ロッドホルダー),,粗大ごみ,金属製で30㎝未満のものは小さな金属類へ。木製で50㎝未満のものは燃やすごみへ。プラスチックのみでできたもので50cm未満のものはプラスチック資源へ
1923,て,Tシャツ,,古布,洗濯して乾かしてから
1924,て,ティッシュペーパー,,燃やすごみ,
1925,て,ティッシュペーパー(購入したポケットティッシュ)の包装,,プラスチック資源,
1926,て,ティッシュペーパー(もらったポケットティッシュ)の包装,,プラスチック資源,紙製のものは古紙へ
1927,て,ティッシュペーパーの箱,,古紙(雑誌・その他の紙）,折りたたんで。取り出し口のフィルムはプラスチック資源へ
1928,て,ティッシュペーパーの取り出し口のフィルム,,プラスチック資源,
1929,て,DVD・ブルーレイディスク(ケース含む),,プラスチック資源,
1930,て,テーブル,,粗大ごみ,
1931,て,鉄アレイ,,小さな金属類,30cm以上のものは粗大ごみへ
1932,て,鉄板,,小さな金属類,30cm以上のものは粗大ごみへ
1933,て,テニスラケット,,粗大ごみ,
1934,て,手ぬぐい,,古布,洗濯して乾かしてから
1935,て,手袋,,古布,洗濯して乾かしてから。ゴム製・革製のもの、破れているもの、左右そろっていないものは燃やすごみへ
1936,て,テレビ,,家電リサイクル,出し方の詳細はリンクを参照ください
1937,て,テレビ台,,粗大ごみ,
1938,て,電気コード・延長コード,◎,燃やすごみ,
1939,て,電気ポット,,燃やすごみ,50㎝以上のものは粗大ごみへ。金属製で30㎝未満は小さな金属類、30㎝以上のものは粗大ごみへ
1940,て,電気毛布,,粗大ごみ,折りたたんで50㎝未満のものは燃やすごみへ
1941,て,電球,,燃えないごみ,新聞紙等に包み品名を表示する
1942,て,電子オルガン,,粗大ごみ,
1943,て,電子レンジ,,粗大ごみ,
1944,て,電卓,◎,燃やすごみ,"電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。金属製は小さな金属類へ
"
1945,て,電池(充電池式),,電池類,可能な限り使い切って、テープなどで絶縁をしてください。膨張・破損しているものは各区の資源循環局事務所にお持ち込みください。
1946,て,電池(ボタン型),,電池類,"可能な限り使い切って、テープなどで絶縁をしてください。
"
1947,て,電話機,◎,燃やすごみ,FAX等複合機も対象。50cmを越えるものは粗大ごみへ。
1948,て,電話帳,,古紙(雑誌・その他の紙）,
1949,て,デッキブラシ(柄の部分含む),,粗大ごみ,50cm未満のものは燃やすごみへ
1950,て,DVD/CDドライブ,◎,燃やすごみ,金属製のものは小さな金属類へ
1951,て,テープカートリッジ,,燃やすごみ,
1952,て,手押し車,,粗大ごみ,プラスチック製で50㎝未満のものは燃やすごみへ。金属製で30㎝未満のものは小さな金属類へ 
1953,て,手鏡,,燃えないごみ,
1954,て,手紙,,古紙(雑誌・その他の紙）,
1955,て,テスター,◎,燃やすごみ,"充電式ものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。<br>
リチウムイオン電池類の出し方が令和7年12月1日から変わります。充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。"
1956,て,手帳,,古紙(雑誌・その他の紙）,
1957,て,デッキチェア,,粗大ごみ,
1958,て,点火灯,,燃やすごみ,
1959,て,電気かみそりの刃,,小さな金属類,新聞紙等に包み品名を表示する
1960,て,電気スタンド(金属製),,粗大ごみ,蛍光灯は外して。30cm未満の場合は小さな金属類
1961,て,電気スタンド(プラスチック製),,燃やすごみ,蛍光灯は外して。50cm以上のものは粗大ごみ
1962,て,電気マット,,粗大ごみ,50cm未満のものは燃やすごみへ
1963,て,電子ピアノ,,粗大ごみ,50cm未満のものは燃やすごみへ(電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す)
1964,て,電飾ツリー,,燃やすごみ,50cm以上のものは粗大ごみへ
1965,て,テント,,粗大ごみ,金属製以外で50㎝未満のものは燃やすごみへ
1966,て,電動自転車,,粗大ごみ,バッテリーは電池類へ。
1967,て,点鼻薬のビン,,燃えないごみ,
1968,て,伝票,,古紙(雑誌・その他の紙）,
1969,て,テーブルクロス,,燃やすごみ,ビニール製で広げて50cm未満のものはプラスチック資源へ。布製で汚れ・破れの無いものは、洗濯して乾かしてから古布へ
1970,て,電気窯,,粗大ごみ,
1971,て,電気コンロ(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
1972,て,電子キーボード(楽器),,粗大ごみ,50cm未満のものは燃やすごみへ(電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す)
1973,て,電子辞書・電子手帳,◎,燃やすごみ,電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
1974,て,電動歯ブラシ,◎,燃やすごみ,"電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
"
1975,て,電動ベッド,,粗大ごみ,介護用ベットで重量のあるものは一部除外あり
1976,て,電話機子機,◎,燃やすごみ,電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
1977,て,ディスプレイモニター(TVチューナーなし)(PC用以外),,粗大ごみ,テレビチューナー付きのものは家電リサイクル、パソコンのモニターはパソコンリサイクルの対象となるためメーカーへ確認。それ以外のもので、50㎝未満でプラスチック製のものは燃やすごみ(電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す)、金属製で30㎝未満のものは小さな金属類へ(家電リサイクル・パソコンリサイクルの対象外であることを明記して出す)
1978,て,電話台,,粗大ごみ,"木製で50cm未満のものは燃やすごみへ。
プラスチックのみでできたもので50cm未満のものはプラスチック資源へ。
金属製で30cm未満のものは小さな金属類へ"
1979,て,電気フライヤー(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
1980,て,テールライト(自転車),,燃やすごみ,
1981,て,デジタルフォトフレーム,◎,燃やすごみ,
1982,て,電気フライヤー(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
1983,て,電話線,◎,燃やすごみ,
1984,て,定期入れ,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
1985,て,デスクマット,,燃やすごみ,
1986,て,テニスボールやシャトルの缶(金属ケース),,小さな金属類,プラスチック部分(蓋など)があれば、プラスチック資源へ
1987,て,テニスボールやシャトルの缶(プラスチックケース),,プラスチック資源,
1989,て,電動工具,◎,燃やすごみ,電池・充電池は電池類へ。50cm以上のものは粗大ごみへ。金属製で30cm未満のものは小さな金属類、30cm以上のものは粗大ごみへ。
1990,て,テープカッター(プラスチック製・木製),,燃やすごみ,金属製のものは小さな金属類へ ガラス製のものは燃えないごみへ
1991,て,電気カイロ,◎,燃やすごみ,電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
1992,て,ティッシュケース,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ。金属製のものは小さな金属類へ。陶器・ガラス製のものは燃えないごみへ
1993,て,鉄器,,小さな金属類,30cm以上のものは粗大ごみへ
1994,て,鉄下駄,,小さな金属類,
1995,て,電池(コイン型),,電池類,可能な限り使い切って、テープなどで絶縁をしてください。
1996,て,天板,,粗大ごみ,金属製で30㎝未満のものは小さな金属類へ。木製で50㎝未満のものは燃やすごみへ。プラスチックのみでできたもので50cm未満のものはプラスチック資源へ
1997,て,鉄くず,,小さな金属類,30cm以上のものは粗大ごみへ
1998,て,点灯管,,燃えないごみ,照明器具から取り外し、割れないように紙などで包んで品名を表示する  金属製は「小さな金属」へ。
1999,て,ティッシュケース(紙製),,古紙(雑誌・その他の紙）,
2000,て,テーブルマット,,燃やすごみ,丸めて50cm以上になるものは粗大ごみへ。ビニール製で広げて50cm未満のものプラスチック資源へ
2001,て,手提げ金庫(金属製),,小さな金属類,30cm以上のものは粗大ごみへ。耐火金庫は販売店へ
2002,て,手提げ金庫(木製・プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ。
2004,て,定期券,,燃やすごみ,
2005,て,電子タバコ(プラスチック製),◎,燃やすごみ,電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
2006,て,電飾コード,,燃やすごみ,白熱球(取り外せるもの)は外して燃えないごみへ。LED電球はまとめて燃やすごみへ。
2007,て,ディスクチェンジャー(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
2008,て,ディスクチェンジャー(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
2009,て,テープのり,,燃やすごみ,
2010,て,手帳カバー,,燃やすごみ,
2011,て,電動シャープナー,,燃やすごみ,
2012,て,電報,,古紙(雑誌・その他の紙）,紙以外の飾り(リボンなど)は外して
2013,て,デンタルフロス,,燃やすごみ,プラスチックのみでできたケースはプラスチック資源へ
2015,て,天井埋込型エアコン,,粗大ごみ,家電リサイクルの対象外製品
2016,て,電源コードリール(金属製),,粗大ごみ,"30cm未満のものは小さな金属類へ。（コードは外して燃やすごみへ。）
プラスチック製のものは燃やすごみへ。"
2017,て,テレビスタンド,,粗大ごみ,
2018,て,電気かんな(主にプラスチック製),,燃やすごみ,金属製で30cm以上のものは粗大ごみ
2019,て,ディスクジャケット,,古紙(雑誌・その他の紙）,
2020,て,デッキパネル,,燃やすごみ,50cm以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ
2021,て,テレコ(生地),,古布,
2023,て,手すり,,粗大ごみ,50㎝未満でプラスチックのみでできたものはプラスチック資源へ。金属製で30cm未満の物は小さな金属類、金属製以外で50cm未満の物は燃やすごみへ
2024,て,電飾置物,,燃やすごみ,
2025,て,電動乗用カー,,粗大ごみ,電池・充電池は電池類へ。
2026,て,電動毛抜き,◎,燃やすごみ,電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
2027,て,ディスペンサー(ガラス・陶器製),,燃えないごみ,
2028,て,ディスペンサー,,プラスチック資源,プラスチックのみでできたものはプラスチック資源へ。金属製のパーツは小さな金属類へ
2029,て,電動カート,,粗大ごみ,"バッテリーは外して、メーカー、販売店へ相談
"
2030,て,ティーサーバー,,燃えないごみ,金属製のフタは小さな金属類へ。プラスチックのみでできたのフタはプラスチック資源へ
2031,て,テレビ回転台,,燃やすごみ,"50cm以上のものは粗大ごみへ"
2032,て,DVDライター,◎,燃やすごみ,
2033,て,定量噴霧式吸入器,,燃やすごみ,薬剤のボンベはスプレー缶へ
2034,て,電圧変換器,◎,燃やすごみ,金属製で30㎝未満は小さな金属類へ
2035,て,鉄棒(子供用遊具),,粗大ごみ,
2036,て,電子メモパッド,◎,燃やすごみ,電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
2037,て,手提げホルダー,,プラスチック資源,
2038,て,電池ホルダー,,燃やすごみ,電池・充電池は電池類へ。
2039,て,電力変換装置,,小さな金属類,30㎝以上のものは粗大ごみへ
2040,て,ティッシュケース(布製),,古布,
2041,て,ディスポーザー(自分で取り外したもののみ),,粗大ごみ,30cm未満のものは小さな金属類へ。業者が取り外したものは業者に処分を依頼する。
2042,て,電子書籍リーダー,,燃やすごみ,"50cm未満のものは燃やすごみへ(充電式のものの充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す)<br>
リチウムイオン電池類の出し方が令和7年12月1日から変わります。50cm未満のものは燃やすごみへ(電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す)"
2043,て,テントマット,,燃やすごみ,畳んで50cm以上のものは粗大ごみへ
2044,て,デキャンター,,燃えないごみ,プラスチックのみで50cm未満のものはプラスチック資源へ
2045,て,電動車いす,,粗大ごみ,"バッテリーは外して。
<br>
リチウムイオン電池類の出し方が令和7年12月1日から変わります。電池・充電池は電池類へ。"
2046,て,デザインナイフ(柄が金属製),,小さな金属類,
2047,て,デザインナイフ(柄が木製・プラスチック製),,燃やすごみ,
2048,て,デンタルリンスの容器,,プラスチック資源,
2049,て,ディスクペーパー,,燃やすごみ,
2050,て,データスタンプ,,燃やすごみ,金属製のものは小さな金属類へ
2051,て,ディスプレイフィルター,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
2052,て,ディナーベル,,小さな金属類,
2053,て,鉄柵,,粗大ごみ,
2054,て,点鼻薬の容器(プラスチック製),,プラスチック資源,
2055,て,電極パッド,,燃やすごみ,
2056,て,テーブル(石製),,粗大ごみ,
2057,て,ディバイダー,,小さな金属類,
2058,て,デジタルはかり(プラスチック製),◎,燃やすごみ,電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
2059,て,デジタルはかり(金属製),◎,小さな金属類,
2060,て,電圧計(プラスチック製),◎,燃やすごみ,電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
2061,て,電圧計(金属製),◎,小さな金属類,
2062,て,電動おろし器(金属製以外),◎,燃やすごみ,50㎝以上のものは粗大ごみへ
2063,て,電動おろし器(金属製),◎,小さな金属類,30㎝以上のものは粗大ごみへ
2064,て,電動式ソープディスペンサー(金属製),◎,小さな金属類,
2066,て,電動式ソープディスペンサー(プラスチック製),◎,燃やすごみ,
2067,て,電動熱燗器(プラスチック製),◎,燃やすごみ,陶器製の徳利ははずして燃えないごみへ 50㎝以上のものは粗大ごみへ 
2068,て,電動熱燗器(金属製),◎,小さな金属類,陶器製の徳利ははずして燃えないごみへ 30㎝以上のものは粗大ごみへ
2069,て,電気スタンド(石・ガラス製),,燃えないごみ,"蛍光灯は外して
50㎝以上のものは粗大ごみへ"
2070,て,ティッシュケース(金属製),,小さな金属類,30㎝以上のものは粗大ごみへ
2071,て,電気式カイロ(金属製),◎,小さな金属類,"電池・充電池は電池類へ。
"
2072,て,電気式カイロ(プラスチック製),◎,燃やすごみ,電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
2073,て,電子辞書・電子手帳のケース,,燃やすごみ,
2074,て,テントのポール(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
2075,て,鉄球,,小さな金属類,
2078,で,電気蒸し器,◎,燃やすごみ,50㎝以上のものは粗大ごみへ
2079,と,砥石,,燃えないごみ,
2080,と,トイレットペーパー,,燃やすごみ,
2081,と,トイレットペーパーの外包装,,プラスチック資源,
2082,と,トイレットペーパーの個別包装紙(紙製),,古紙(雑誌・その他の紙）,
2083,と,トイレットペーパーの個別包装紙(ビニール),,プラスチック資源,
2084,と,トイレットペーパーの芯,,古紙(雑誌・その他の紙）,
2085,と,トースター,,小さな金属類,30cm以上のものは粗大ごみへ
2086,と,豆腐の容器(プラスチック製),,プラスチック資源,
2087,と,豆腐の容器のフタ,,プラスチック資源,
2088,と,時計(壁掛け、置き時計),◎,燃やすごみ,50cm以上のものは粗大ごみへ。金属製で30cm未満のものは小さな金属類、30cm以上のものは粗大ごみへ。
2090,と,ドライバー等工具,,小さな金属類,新聞紙等に包み品名を表示する 30cm以上のものは粗大ごみへ
2091,と,ドライヤー・ヘアアイロン,◎,燃やすごみ,金属の割合が多いものは、小さな金属類へ
2092,と,鳥かご,,粗大ごみ,"木製で50cm未満のものは燃やすごみへ。
プラスチックのみでできたもので50cm未満のものはプラスチック資源へ。
金属製で30cm未満のものは小さな金属類へ"
2093,と,トレイ(生鮮食料品<惣菜・肉・魚など>の受け皿),,プラスチック資源,給水シートも含む。
2095,と,ドレッシングタイプ調味料(ノンオイル)の入っていたペットボトル,,缶・びん・ペットボトル,ペットボトルマークを確認。油脂を使っているドレッシングは軽くすすいでからプラスチック資源へ
2096,と,どんぶり(陶器製),,燃えないごみ,新聞紙等に包み品名を表示する
2097,と,灯油ポンプ,,燃やすごみ,電池・充電池は電池類へ。 50㎝以上のものは粗大ごみへ。プラスチックのみで50cm未満のものはプラスチック資源へ。
2099,と,トイレマット,,燃やすごみ,
2100,と,道着,,古布,洗濯をして乾かしてから
2101,と,動物の死体,,個別に相談,
2102,と,トタン板,,粗大ごみ,30cm未満のものは小さな金属類へ
2103,と,トナーカートリッジ,,燃やすごみ,50cm以上のものは粗大ごみ(販売店へ返却も可)
2104,と,トランク,,粗大ごみ,50cm未満のものは燃やすごみへ
2105,と,トランプ,,プラスチック資源,紙製のものは古紙(雑誌・その他の紙)へ
2106,と,ドリル,,小さな金属類,電池・充電池は電池類へ。 30cm以上のものは粗大ごみへ
2107,と,ドレッサー,,粗大ごみ,
2108,と,トレリス(格子垣),,粗大ごみ,50cm未満のものは燃やすごみへ。プラスチックのみで50cm未満のものはプラスチック資源へ。金属製で30cm未満のものは小さな金属類へ。
2109,と,トロフィー・優勝カップ(ガラス製),,燃えないごみ,50cm以上のものは粗大ごみへ
2112,と,トロフィー・優勝カップ(金属・ガラス製以外),,燃やすごみ,50cm以上のものは粗大ごみへ
2113,と,トロフィー・優勝カップ(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
2114,と,土のう,,燃えないごみ,
