ID,頭文字,品目名,小型家電回収対象,出し方,出し方のポイント
1346,し,証書ホルダー,,燃やすごみ,全体が紙製のものは古紙(雑誌・その他の紙)へ
1347,し,収縮棚,,粗大ごみ,
1348,し,シーリングファン,,粗大ごみ,
1349,し,シェイカー,,小さな金属類,プラスチックのみでできたものはプラスチック資源へ
1350,し,ジョイスティック,◎,燃やすごみ,電池・充電池は電池類へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
1351,し,遮音シート,,燃やすごみ,畳んで50cm以上のものは粗大ごみへ
1352,し,シルバーカー,,粗大ごみ,
1353,し,真空管,,燃えないごみ,
1354,し,磁気マット,,粗大ごみ,
1355,し,尺八,,粗大ごみ,
1356,し,絞り器(金属製),,小さな金属類,プラスチックのみでできたものはプラスチック資源へ
1358,し,仕掛け網,,粗大ごみ,"事業で排出するものは、事業系ごみ、家庭から出たもので50cm以下のものは燃やすごみへ"
1359,し,シャンプーハット,,プラスチック資源,
1360,し,消臭シート,,燃やすごみ,
1361,し,自動車プラグ,,小さな金属類,
1362,し,シートベルト,,燃やすごみ,
1363,し,ジェルパッド,,燃やすごみ,
1364,し,シューズキーパー,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
1365,し,シュリンク,,プラスチック資源,
1366,し,シルバーカート,,粗大ごみ,
1367,し,食器棚シート,,プラスチック資源,広げると５０cm以上のものは燃やすごみへ
1368,し,シルバークリーナー(びん),,燃えないごみ,
1369,し,シルバークリーナー(プラスチック製),,プラスチック資源,
1370,し,重曹,,燃やすごみ,
1372,し,ジャンピングホッパー,,粗大ごみ,
1373,し,飼育ケース(プラスチック製・木製),,燃やすごみ,50cm以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ。ガラス製で50cm未満のものは燃えないごみへ
1374,し,書道箱,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
1375,し,遮光ネット,,燃やすごみ,広げて50cm未満でプラスチックのみのものはプラスチック資源へ
1376,し,上質紙,,古紙(雑誌・その他の紙）,
1377,し,新聞ストッカー,,燃やすごみ,プラスチックのみで50cm未満のものはプラスチック資源へ
1378,し,シェルフ,,粗大ごみ,"木製で50cm未満のものは燃やすごみへ。
プラスチックのみでできたもので50cm未満のものはプラスチック資源へ。
金属製で30cm未満のものは小さな金属類へ"
1379,し,写真パネル,,燃やすごみ,50cm以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ
1381,し,食卓カバー,,燃やすごみ,50cm以上のものは粗大ごみへ
1382,し,食品包装(プラスチック製),,プラスチック資源,個包装・小包装も対象
1383,し,自転車用バッテリー,,電池類,可能な限り使い切って、テープなどで絶縁をしてください。膨張・破損しているものは各区の資源循環局事務所にお持ち込みください。
1384,し,真空パック機,,燃やすごみ,
1385,し,シールの台紙,,古紙(雑誌・その他の紙）,
1386,し,磁石入絆創膏,,燃やすごみ,
1387,し,自転車のベル,,小さな金属類,プラスチックのみでできたものはプラスチック資源へ
1388,し,消臭剤(エアゾール缶),,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック資源へ。中身が出せなくなったものについては収集事務所に相談
1389,し,自転車のチェーン,,小さな金属類,
1390,し,自転車のフレーム,,粗大ごみ,30cm未満のものは小さな金属類へ
1391,し,しおり(紙製),,古紙(雑誌・その他の紙）,
1392,し,しおり(金属製),,小さな金属類,
1393,し,しおり(木製・プラスチック製),,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
1394,し,シャボン玉液容器,,プラスチック資源,
1395,し,書道下敷き,,燃やすごみ,
1396,し,背負子,,粗大ごみ,
1397,し,シャボン玉ストロー,,プラスチック資源,
1398,し,シューズスタンド,,粗大ごみ,
1399,し,消毒液などのボトル(ガラス製),,燃えないごみ,
1400,し,シェービングジェルの容器,,プラスチック資源,ガラス瓶のものは燃えないごみ
1401,し,磁気ネックレス,,燃やすごみ,
1402,し,自転車のライト,,燃やすごみ,
1404,し,シンバルスタンド,,粗大ごみ,
1405,し,商品券,,古紙(雑誌・その他の紙）,
1406,し,庭園灯(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
1407,し,庭園灯,,燃やすごみ,50cm以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ
1408,し,シガレットケース,,小さな金属類,プラスチックのみでできたものはプラスチック資源へ。木製・革製のものは燃やすごみへ
1409,し,芝刈り機(ハンディタイプ),,燃やすごみ,刃は外して小さな金属類へ
1410,し,食器(プラスチック製),,プラスチック資源,
1411,し,字消し板,,小さな金属類,プラスチックのみでできたものはプラスチック資源へ
1412,し,食品容器(プラスチック製),,プラスチック資源,
1413,し,焼酎サーバー(陶器製),,燃えないごみ,50cm以上のものは粗大ごみへ
1414,し,ジャムの紙容器,,燃やすごみ,
1416,し,受信ブースター,◎,燃やすごみ,金属製のものは小さな金属類へ
1417,し,定規(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
1418,し,刺しゅう枠(木・プラスチック製),,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
1419,し,刺しゅう枠(金属製),,小さな金属類,
1420,し,シュレッダー(電動:プラスチック製),◎,燃やすごみ,50cm以上のものは粗大ごみへ
1421,し,シャーレ(ガラス製),,燃えないごみ,
1422,し,シャーレ(金属製),,小さな金属類,
1423,し,シャーレ(プラスチック製),,プラスチック資源,プラスチックのみでできたものはプラスチック資源
1424,し,収納ボックス(段ボール製),,古紙（段ボール）,つぶして、取っ手などははずす。
1425,し,自動車用カバー,,燃やすごみ,折りたたんで50㎝以上のものは粗大ごみへ
1426,し,磁気ガード用金属シート,,小さな金属類,アルミ製のものは燃やすごみへ
1427,し,しゃもじ(金属製),,小さな金属類,
1428,し,ジャッキスタンド,,小さな金属類,30㎝以上のものは粗大ごみへ
1429,し,食品の個別包装紙,,燃やすごみ,油を含んだ紙や汚れた紙、においのついた紙など。きれいな紙は古紙へ。
1431,し,身長計,,粗大ごみ,
1432,し,食品の紙容器(油汚れがついているもの),,燃やすごみ,
1433,し,しかけ絵本,,古紙(雑誌・その他の紙）,プラスチックのみでできたパーツは外してプラスチック資源へ。その他布などのパーツは外して燃やすごみへ
1434,し,食器(陶器・ガラス製),,燃えないごみ,
1435,し,自撮り棒,,小さな金属類,30㎝以上のものは粗大ごみヘ。プラスチックのみでできたものはプラスチック資源へ
1436,ぬ,抜き型,,プラスチック資源,金属製のものは小さな金属類へ
1437,し,自転車・バイクのアクセサリー/パーツ(金属製),,小さな金属類,30㎝以上のものは粗大ごみヘ。バイク本体などは販売店へ相談
1438,し,自転車・バイクのアクセサリー(金属製以外),,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
1439,し,収納用バッグ、ランドリーバッグ,,燃やすごみ,畳んで50㎝以上のものは粗大ごみへ。50cm未満でプラスチックのみのものはプラスチック資源へ
1440,し,シャワーフック,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ。金属製のものは小さな金属類へ
